article_id,title,processed_title,cluster,topic_label,url,media_name
84784d671192e0bbf34acc4a8710b67a0f9931de8b7954b71d98f190cfe9f652,Tories on edge of precipice as Sunak grapples with Rwanda bill rebellion,tory edge precipice grapple rwanda bill rebellion,2,Rwanda Bill,https://www.theguardian.com/politics/2024/jan/16/tories-on-edge-of-precipice-as-sunak-seeks-way-back-from-edge,theguardian.com
663ba0a650f9865dff7acc3be2590a34fe88a9c2acb697f9c6757893c9b946ed,Ella Baron on the Tory rebellion against the Rwanda bill – cartoon,ella baron tory rebellion rwanda bill cartoon,2,Rwanda Bill,https://www.theguardian.com/commentisfree/picture/2024/jan/16/ella-baron-tory-rebellion-against-rwanda-bill-cartoon,theguardian.com
67f466e961c5e80c1c4d90955666682f2d1f42bb4aa902ca0da908fb31beb394,Sunak faces revolt over Rwanda bill as two senior Tories quit,face revolt rwanda bill senior tory quit,2,Rwanda Bill,https://www.theguardian.com/uk-news/2024/jan/16/tory-deputy-chairs-resign-lee-anderson-brendan-clarke-smith-rishi-sunak,theguardian.com
82bb965f2fa00286c188b116c6e98976ba7a0bc7626c916bdee8cdb9718ae88c,Rishi’s plea for party to 'come together' on Rwanda bill,plea party come rwanda bill,2,Rwanda Bill,https://www.express.co.uk/news/politics/1856459/rishi-sunak-plea-to-tory-rebels-rwanda,express.co.uk
478e2b9e597dc0221c3c616f030b085ae9a7df0c9071bd7db485742d44ad2dc3,Sunak faces Tory meltdown as deputy chairs back Rwanda bill rebellion,face tory meltdown deputy chair rwanda bill rebellion,2,Rwanda Bill,https://www.theguardian.com/uk-news/2024/jan/15/sunak-faces-tory-meltdown-as-deputy-chairs-back-rwanda-bill-rebellion,theguardian.com
fc2f95f5f8495252c03e1d693838efa87e5d50d445444765d622c23dbdc7484b,Rishi Sunak has 48 hours to save his job as PM with Rwanda Bill rebellion,48 hour save job pm rwanda bill rebellion,2,Rwanda Bill,https://www.express.co.uk/news/politics/1856047/rishi-sunak-48-hours-save-job-pm-comment,express.co.uk
a909f1626c812e6325f0ca34a4d6e85b08c91a47f8f700e5d336cdadea5b104c,The Rwanda resettlement plan will be part of our deterrent,rwanda resettlement plan deterrent,1,Rwanda Bill,https://www.express.co.uk/comment/expresscomment/1855639/rwanda-plan-james-cleverly,express.co.uk
0b2a654a9eb9a236a560c4671c543c9ab22bb9f3c2e79cc4a38af594e9b2069f,Lee Anderson joins right-wing Rwanda bill rebellion,lee anderson join right wing rwanda bill rebellion,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/lee-anderson-sunak-rwanda-bill-tories-b2479059.html,independent.co.uk
7b2fb9c3fbeeb2cabbfd0c062018a5693d614cfcf06862024166344d69f16fa7,Rishi Sunak in last-ditch bid to win over Tory MPs on his Rwanda bill,ditch bid win tory mp rwanda bill,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rishi-sunak-rwanda-plan-stop-boats-b2478648.html,independent.co.uk
745f5040b7451e85c70c965147d462c50fddc63e008d73424353b84b7cad15e9,Up to 70 Tory rebels could abstain or back amendments to Rwanda bill,70 tory rebel abstain amendment rwanda bill,2,Rwanda Bill,https://www.theguardian.com/uk-news/2024/jan/14/tory-rebels-could-back-amendments-or-abstain-rwanda-bill,theguardian.com
10eab274fb5107bfa2357ba282b1dfe24db63601c1e71458d04d1cbb0ac9684d,POLL: Do you think Rishi Sunak's new Rwanda Bill will stop the boats? Vote here,poll think new rwanda bill stop boat vote,2,Rwanda Bill,https://www.express.co.uk/news/politics/1854731/rishi-sunak-rwanda-bill-small-boats,express.co.uk
d0ecd524951fb3bc1e9351df77c5cc2fc259e5ae5238a721c362a98583154bde,Suella Braverman threatens to help destroy Rwanda plan unless Sunak changes bill,suella braverman threaten help destroy rwanda plan change bill,1,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/suella-braverman-rishi-sunak-rwanda-parliament-b2477683.html,independent.co.uk
f9ee90eda05e2729d5aa718233a065d11b04b651879a012281b517ca88775d5d,What happens now to Rishi Sunak’s Rwanda plan?,happen rwanda plan,1,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/politics-explained/rishi-sunak-rwanda-bill-tory-mps-b2476564.html,independent.co.uk
2d68c2b37348710b5d573dba57030092d712af6cabbd6eb2677fd2ba917af4b2,Right-wing Tory rebels launch plan to ‘toughen’ Rwanda bill,right wing tory rebel launch plan toughen rwanda bill,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rwanda-flights-bill-sunak-tory-mps-b2476126.html,independent.co.uk
2b53b7dbbe064ee9a83067cb8e987108f7c6d3cfd287b3fad28b5c735b1ea9dc,"Rishi Sunak told me he will ‘not go any further’ on Rwanda bill, top Tory claims",tell rwanda bill tory claim,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rishi-sunak-rwanda-asylum-green-b2475467.html,independent.co.uk
db3dcd8531a33ec80a35f4369e68951997ab9bf7ed7b2ba0807c32d4ee95d837,Rishi Sunak attempts to deny his doubts on Rwanda plan after leaked documents,attempt deny doubt rwanda plan leak document,1,Rwanda Bill,https://www.independent.co.uk/tv/news/rishi-sunak-laura-kuenssberg-interview-b2474493.html,independent.co.uk
9b3642aef0e426b2b30951be6ddcf58c252ac444808235be033c1eecf1bc5362,Sunak forced to defend Rwanda plan after leak suggested he had significant doubts,force defend rwanda plan leak suggest significant doubt,1,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rishi-sunak-defend-rwanda-leak-b2474508.html,independent.co.uk
1b15a292f54f941bae64dfd3b146c5ca56a83b2642baf21264c558651b11612d,Ex-minister threatens to toughen Rwanda bill after documents leak,ex minister threaten toughen rwanda bill document leak,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rishi-sunak-rwanda-con-leak-b2474259.html,independent.co.uk
49e03af68b44c02a81c21edb32320978ebd22dd071aff925117b1ff97c3703e4,"Labour scrapping Rwanda plan will lead to 'mass migration', Tory minister wa",labour scrap rwanda plan lead mass migration tory minister wa,1,Rwanda Bill,https://www.express.co.uk/news/politics/1849320/labour-mass-immigration-rwanda-general-election,express.co.uk
78bd2ec76721a137497e9e5b18c7c2560cf7c82b70237d07601ec252f9c98f5b,Inside Keir Starmer's 'alternative Rwanda plan' which could get help from the EU,inside alternative rwanda plan help eu,1,Rwanda Bill,https://www.express.co.uk/news/politics/1849280/labour-keir-starmer-rwanda-immigration,express.co.uk
67c088388202e40da0c4182d8958928add6a73637485e2e45641c6b6f8e99025,Labour considering Rwanda alternative for migrant plan,labour consider rwanda alternative migrant plan,1,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rwanda-plan-labour-migrants-starmer-b2469385.html,independent.co.uk
8f6466e0f12225ee50e82d8f42ca4c551dccb73309f2a3f97aac17c5816fa020,"Rishi Sunak believes Rwanda bill ‘best thing we can get’, says deputy",believe rwanda bill good thing deputy,2,Rwanda Bill,https://www.theguardian.com/uk-news/2023/dec/17/rishi-sunak-believes-rwanda-bill-best-thing-we-can-get-says-deputy-oliver-dowden-tory-immigration-row,theguardian.com
cd70ba67a00a07efa50fa50f1b3252545d8b782dff062b8b488147dd67651f09,Rishi Sunak says he’s ‘open’ to changes on Rwanda bill in bid to quell Tory anger,open change rwanda bill bid quell tory anger,2,Rwanda Bill,https://www.independent.co.uk/news/uk/politics/rishi-sunak-rwanda-bill-tories-b2463961.html,independent.co.uk
dd07643bf92e42328e16d18b17bf2da3ea0c1b034139b421adf4672d2c37517a,Suella Braverman slams Rishi Sunak's Rwanda Bill as it 'will not stop the boats',suella braverman slam rwanda bill stop boat,2,Rwanda Bill,https://www.express.co.uk/news/politics/1845393/Braverman-Rwanda-bill-will-not-stop-the-boats,express.co.uk
