title,link,source,date,snippet,page
Britain oo si naadir ah dhalasho ugala laabanaysa hooyo umul ah,https://www.bbc.com/somali/war-47301828,BBC,20 Feb 2019,Shamima Begum oo ku biirtay kooxda isku magacawda Dawladda Islaamka ee Suuriya iyadoo 15 jir ah ayaa hadda waayaysa muwaadinnimadeeda UK.,3
'Yan matan kungiyar IS na tsaka mai wuya,https://www.bbc.com/hausa/47314800,BBC,21 Feb 2019,Shugaban Amurka Donald Trump ya ce ba zai amince wata mata da ta bar Amurka domin yi wa kungiyar IS aiki ba komawa kasar ba.,3
Islamic State group plans to rebound with more attacks - MI6,https://www.bbc.com/news/uk-47255230,BBC,15 Feb 2019,"The intelligence chief also expresses concern about people returning from Syria with ""dangerous"" skills.",3
Is it still ok to listen to Michael Jackson?,https://www.bbc.com/audio/play/p072bzjv,BBC,1 Mar 2019,"Michael Jackson is perhaps the biggest pop star there's ever been. He's still thought of as a legend, despite years of allegations regarding his...",3
"News Daily: IS teen's return 'could be blocked', and Trump's wall emergency",https://www.bbc.com/news/uk-47245397,BBC,14 Feb 2019,"If you want to get this briefing by email, sign up here. IS teen's future. Met Police Kadiza Sultana, Amira Abase and Shamima Begum Met Police.",4
Tracey Neville: Head Coach of the England Women’s Netball Team,https://www.bbc.com/audio/play/m0002hlc,BBC,14 Feb 2019,"Tracey Neville, looking after disabled children, breast ironing, and Laura Mucha.",4
Trump tells European countries to take back IS fighters,https://www.bbc.com/news/world-middle-east-47269887,BBC,17 Feb 2019,The US president urges European allies to repatriate 800 Islamic State fighters in Iraq and Syria.,4
Hoda Muthana: Trump says IS woman barred from US return,https://www.bbc.com/news/world-us-canada-47313657,BBC,20 Feb 2019,"Hoda Muthana, who was born in the US, regrets her actions and wants to return, her lawyer says.",4
Scotland's papers: Teenage murderer named and Brexit warning,https://www.bbc.com/news/uk-scotland-47276160,BBC,18 Feb 2019,The naming of a teenager who killed a man in a knife attack and latest Brexit talks make the front pages.,4
The moment a journalist found British IS schoolgirl in Syria,https://www.bbc.com/news/av/uk-47240120/the-moment-a-journalist-found-british-is-schoolgirl-in-syria,BBC,14 Feb 2019,Anthony Loyd of the Times describes how he found Shamima Begum in a Syrian refugee camp.,4
